WikidataID,WikidataName,ReconCount
Q5,human,892
Q4167410,Wikimedia disambiguation page,176
Q482994,album,123
Q5633421,scientific journal,83
Q13442814,scientific article,75
Q571,book,74
Q11424,film,63
Q215380,band,60
Q134556,single,49
Q4830453,business enterprise,42
Q7889,video game,31
Q2334719,legal case,28
Q43229,organization,27
Q21191270,TV series episode,22
Q838795,comic strip,22
Q3305213,painting,21
Q7366,song,21
Q41298,magazine,20
Q515,city,19
Q14934048,political ideology,18
Q23002039,public educational institution of the United States,18
Q3624078,sovereign state,17
Q3918,university,15
Q5398426,television series,15
Q160016,member state of the United Nations,14
Q6256,country,14
Q23002054,private not-for-profit educational institution,13
Q7278,political party,13
Q101352,family name,12
Q15936437,research university,12
Q163740,nonprofit organization,12
Q12308941,male given name,11
Q35657,state of the United States,11
Q1002697,periodical literature,10
Q431603,advocacy group,10
Q7058673,video game series,10
Q737498,academic journal,10
Q1110794,daily newspaper,9
Q18127,record label,9
Q19692072,United States Supreme Court decision,9
Q2996394,biological process,9
Q476068,Act of Congress,9
Q5741069,rock band,9
Q11032,newspaper,8
Q169930,extended play,8
Q615150,land-grant institution,8
Q902104,private university,8
Q151885,concept,7
Q28640,profession,7
Q7397,software,7
Q7725634,literary work,7
Q875538,public university,7
Q10855242,race horse,6
Q14296,top-level domain,6
Q188451,music genre,6
Q222910,compilation album,6
Q327333,government agency,6
Q35127,website,6
Q860861,sculpture,6
Q1188663,Colonial Colleges,5
Q12136,disease,5
Q1549591,big city,5
Q157031,foundation,5
Q1616075,television station,5
Q16521,taxon,5
Q17524420,aspect of history,5
Q1752939,independent agency of the United States government,5
Q17888,sexual orientation,5
Q179805,political philosophy,5
Q201658,film genre,5
Q210826,thoroughbred,5
Q226730,silent film,5
Q3957,town,5
Q41710,ethnic group,5
Q486972,human settlement,5
Q5119,capital,5
Q7257,ideology,5
Q9174,religion,5
Q968159,art movement,5
Q123705,neighborhood,4
Q12737077,occupation,4
Q15127012,town of the United States,4
Q178790,trade union,4
Q179461,religious text,4
Q191067,article,4
Q210167,video game developer,4
Q21188110,American television sitcom,4
Q21191019,Japanese TV series,4
Q2198855,cultural movement,4
Q2465832,branch of science,4
Q25379,play,4
Q3024240,former country,4
Q32880,architectural style,4
Q3326717,literary movement,4
Q484652,international organization,4
Q532,village,4
Q561068,specialty channel,4
Q6979593,national association football team,4
Q82794,geographic region,4
Q8502,mountain,4
Q11862829,academic discipline,3
Q11879590,female given name,3
Q123480,landlocked country,3
Q1259759,miniseries,3
Q14350,radio station,3
Q159979,twin,3
Q1637706,city with millions of inhabitants,3
Q17329259,encyclopedic article,3
Q17343829,unincorporated community,3
Q180684,conflict,3
Q185441,member state of the European Union,3
Q20667187,silent short film,3
Q209939,live album,3
Q23442,island,3
Q3464665,TV series season,3
Q34770,language,3
Q3863,Asteroid,3
Q40056,computer program,3
Q484170,commune of France,3
Q49447,world view,3
Q506240,television film,3
Q6055843,internet genre,3
Q751708,village in the United States,3
Q79913,non-governmental organization,3
Q891723,public company,3
Q9415,emotion,3
Q1066538,National Central City,2
Q11086742,television anime,2
Q112099,island nation,2
Q1137109,video game publisher,2
Q1186981,supercarrier,2
Q1208802,direct-controlled municipality,2
Q13406660,Civil rights movement,2
Q1348589,lunar crater,2
Q1368848,literary magazine,2
Q15149663,state of Mexico,2
Q15265344,broadcaster,2
Q15303967,national archives,2
Q15416,television program,2
Q15632617,fictional human,2
Q15925549,cultural generation of Western society,2
Q159821,Summer Olympic Games,2
Q15991303,association football league,2
Q1612699,crime family,2
Q161726,multinational corporation,2
Q1762059,film production company,2
Q1785271,cycling team,2
Q189004,college,2
Q1914636,activity,2
Q19389637,biographical article,2
Q1967454,National Memorial of the United States,2
Q19723451,smartphone model,2
Q198,war,2
Q19944802,government structure,2
Q20202269,music term,2
Q202686,Commonwealth realm,2
Q20857065,United States federal agency,2
Q20858006,federal law enforcement agency of the United States,2
Q20971972,Original Public Ivy,2
Q21518270,state or insular area capital in the United States,2
Q21869758,delegated commune,2
Q223393,literary genre,2
Q229390,3D film,2
Q23397,lake,2
Q253019,Ortsteil,2
Q273120,protest,2
Q294308,publicly funded health care,2
Q3048444,school of economic thought,2
Q31855,research institute,2
Q3220391,social networking service,2
Q3238445,security agency,2
Q3331189,edition,2
Q33506,museum,2
Q35760,essay,2
Q39911,decade,2
Q4022,river,2
Q476028,association football club,2
Q47913,intelligence agency,2
Q480242,statistical service,2
Q4892352,instant messaging client,2
Q4894405,journalism genre,2
Q49371,legislation,2
Q49773,social movement,2
Q498162,census-designated place,2
Q581714,animated series,2
Q5932254,demographic profile,2
Q644371,international airport,2
Q6505795,member state of the Council of Europe,2
Q659563,video game genre,2
Q66221,computer data storage,2
Q6688521,permanent member of the United Nations Security Council,2
Q7187,gene,2
Q7188,government,2
Q7270,republic,2
Q7748,law,2
Q8054,protein,2
Q8274,manga,2
