WikidataID,WikidataName,ReconCount
Q13442814,scientific article,210
Q482994,album,116
Q11424,film,97
Q571,book,86
Q3305213,painting,52
Q5633421,scientific journal,47
Q134556,single,46
Q215380,band,37
Q5,human,33
Q4830453,business enterprise,29
Q21191270,TV series episode,26
Q7366,song,23
Q43229,organization,20
Q5398426,television series,18
Q41298,magazine,15
Q7889,video game,15
Q3624078,sovereign state,14
Q3918,university,13
Q7278,political party,13
Q23002039,public educational institution of the United States,12
Q838795,comic strip,12
Q101352,family name,11
Q160016,member state of the United Nations,10
Q6256,country,10
Q12136,disease,9
Q14934048,political ideology,9
Q737498,academic journal,9
Q7725634,literary work,9
Q11862829,academic discipline,8
Q163740,nonprofit organization,8
Q25379,play,8
Q860861,sculpture,8
Q10855242,race horse,7
Q506240,television film,7
Q515,city,7
Q7058673,video game series,7
Q7397,software,7
Q1002697,periodical literature,6
Q169930,extended play,6
Q226730,silent film,6
Q28640,profession,6
Q327333,government agency,6
Q35127,website,6
Q11446,ship,5
Q16521,taxon,5
Q17343829,unincorporated community,5
Q178790,trade union,5
Q19389637,biographical article,5
Q201658,film genre,5
Q3024240,historical country,5
Q41710,ethnic group,5
Q532,village,5
Q79007,street,5
Q1110794,daily newspaper,4
Q1259759,miniseries,4
Q151885,concept,4
Q157031,foundation,4
Q1762059,film production company,4
Q19692072,United States Supreme Court decision,4
Q20202269,music term,4
Q209939,live album,4
Q23002054,private not-for-profit educational institution,4
Q2996394,biological process,4
Q3220391,social networking service,4
Q3331189,edition,4
Q3863,asteroid,4
Q431603,advocacy group,4
Q476068,Act of Congress,4
Q484652,international organization,4
Q486972,human settlement,4
Q5185279,poem,4
Q615150,land-grant institution,4
Q82794,geographic region,4
Q875538,public university,4
Q891723,public company,4
Q11173,chemical compound,3
Q12737077,occupation,3
Q131569,treaty,3
Q15127012,town of the United States,3
Q15416,television program,3
Q15936437,research university,3
Q1616075,television station,3
Q17524420,aspect of history,3
Q1752939,independent agency of the United States government,3
Q17737,theory,3
Q17888,sexual orientation,3
Q191067,article,3
Q198,war,3
